% Moku:Oscilloscope
% Channel A (Input 1) - DC coupling, 1 MOhm impedance, 1 x probe attenuation
% Channel B (Input 2) - DC coupling, 1 MOhm impedance, 1 x probe attenuation
% Time span 3.000 s, time offset 1.740 s, Normal acquisition mode, 1 averages
% Edge trigger: Channel A, level 2.000 V, Auto mode, Rising edge, Auto sensitivity, noise reject off, HF reject off
% Output 1 - Pulse, 50.000 000 Hz, 3.303 5 Vpp, offset 0.000 0 V, phase 0.000 deg, width 1.000 ms, edge 4.000 ns, output load 1 MOhm
% Output 2 - Ramp, 50.000 000 000 kHz, 500.9 mVpp, offset 0.000 0 V, phase 0.000 deg, symmetry 90.00 %, output load 50 Ohm
% Internal 10 MHz clock
% Acquired 2022-05-01 T 02:47:07 -0400
% Kite Propulsion Generator Prototype Iteration 1.0
% Time (s), Ch 1 (V)
2.025406180000e+00, 4.3659336556e-02
2.025601494000e+00, 3.8102693722e-02
2.025796808000e+00, 3.7308887602e-02
2.025992122000e+00, 3.7044285563e-02
2.026187436000e+00, 3.7044285563e-02
2.026382750000e+00, 3.5192071285e-02
2.026578064000e+00, 3.5721275364e-02
2.026773378000e+00, 3.4398265165e-02
2.026968692000e+00, 3.5985877404e-02
2.027164006000e+00, 3.4133663126e-02
2.027359320000e+00, 3.4398265165e-02
2.027554634000e+00, 3.4133663126e-02
2.027749948000e+00, 3.4927469245e-02
2.027945262000e+00, 3.3604459046e-02
2.028140576000e+00, 3.0164632530e-02
2.028335890000e+00, 3.2546050887e-02
2.028531204000e+00, 3.2016846808e-02
2.028726518000e+00, 3.0958438649e-02
2.028921832000e+00, 3.0429234569e-02
2.029117146000e+00, 2.9106224371e-02
2.029312460000e+00, 2.6460203973e-02
2.029507774000e+00, 2.7254010093e-02
2.029703088000e+00, 2.5930999894e-02
2.029898402000e+00, 2.5137193775e-02
2.030093716000e+00, 2.4078785616e-02
2.030289030000e+00, 2.4078785616e-02
2.030484344000e+00, 2.3020377457e-02
2.030679658000e+00, 2.3284979497e-02
2.030874972000e+00, 2.2226571338e-02
2.031070286000e+00, 2.3284979497e-02
2.031265600000e+00, 2.3284979497e-02
2.031460914000e+00, 2.3549581536e-02
2.031656228000e+00, 2.4872591735e-02
2.031851542000e+00, 2.4343387655e-02
2.032046856000e+00, 2.4343387655e-02
2.032242170000e+00, 2.4078785616e-02
2.032437484000e+00, 2.4343387655e-02
